,sector,annual return log,Std
JPM,Financials,-0.0994861793301546,0.5806965663045853
JNPR,Information Technology,-0.09400197996059398,0.3943922610381957
KSU,Industrials,0.1674489924873081,0.5238180447621058
K,Consumer Staples,-0.09734851396349632,0.33986305177685755
KEY,Financials,-0.14553077828761865,0.8229947391567312
KEYS,Information Technology,0.14275354373574775,0.468225147898455
KMB,Consumer Staples,-0.006517482973560404,0.3332321907388215
KIM,Real Estate,-0.29465540373267746,0.802944303672591
KMI,Energy,-0.3191002042561064,0.6118829113775068
KLAC,Information Technology,0.4069758804021731,0.6402616061528604
KHC,Consumer Staples,0.11838494342780732,0.4575649799020499
KR,Consumer Staples,0.175093301636945,0.33860071769308425
LB,Consumer Discretionary,0.7751574312558721,1.0108266503884011
LHX,Industrials,-0.12249882307815636,0.44353634963220834
LH,Health Care,0.10448628803385235,0.5625215328650072
LRCX,Information Technology,0.4474978840749078,0.6816020157180155
LW,Consumer Staples,-0.23979116136500733,0.6231530370310602
LVS,Consumer Discretionary,-0.22709227250650685,0.6299797655274443
LEG,Consumer Discretionary,-0.11477887919653,0.71670659537727
LDOS,Information Technology,0.006011381275916478,0.47171998592895514
LEN,Consumer Discretionary,0.2106919132218412,0.7212111198294012
LLY,Health Care,0.05453092001853547,0.4378921300245481
LNC,Financials,-0.1250615170093637,1.0275549598810392
LIN,Materials,0.22467155687151055,0.4150029211030613
LYV,Communication Services,-0.10794476637830558,0.7827368045242827
LKQ,Consumer Discretionary,0.0659272214869397,0.7073564207254726
LMT,Industrials,-0.11737986404020942,0.44152342933471705
L,Financials,-0.16645492324666658,0.634644686523774
LOW,Consumer Discretionary,0.30390860563692806,0.5639884969048434
LUMN,Communication Services,-0.03473002570848926,0.5631115040209275
LYB,Materials,0.05121874462731501,0.7701355753949336
MTB,Financials,-0.28767634272501186,0.6791354120754198
MRO,Energy,-0.7958644197397108,1.0833106097294243
MPC,Energy,-0.2883523868591598,0.9027244699453761
MKTX,Financials,0.38814539156807876,0.48928743077893255
MAR,Consumer Discretionary,-0.12467156795903887,0.7101350438225799
MMC,Financials,0.033186526427081246,0.39077842620653364
MLM,Materials,0.03049019614968225,0.5915190582752977
MAS,Industrials,0.11927364346889888,0.4455509081289913
MA,Information Technology,0.07295153755779947,0.5197245507739245
MKC,Consumer Staples,0.10714754715165908,0.4078010152909928
MXIM,Information Technology,0.3443549650172023,0.4653094962647015
MCD,Consumer Discretionary,0.06617777321451915,0.42925296600482954
MCK,Health Care,0.17866295585136918,0.4828309251649869
MDT,Health Care,-0.04852974989733088,0.44217119352322887
MRK,Health Care,-0.10885990182103569,0.3392139140267883
MET,Financials,-0.03853825844089863,0.6516833616521056
MTD,Health Care,0.3477753415775126,0.4350984636000076
MGM,Consumer Discretionary,-0.1449186060082706,1.037623900483665
MCHP,Information Technology,0.23630731061120716,0.6580095793003014
MU,Information Technology,0.0850594263682398,0.6092244899488359
MSFT,Information Technology,0.30439606113256923,0.471632453701002
MAA,Real Estate,-0.06386531756472968,0.5031361678460167
MHK,Consumer Discretionary,-0.06940305999493616,0.8028636658321513
TAP,Consumer Staples,-0.21390892050455274,0.49427941742189524
MDLZ,Consumer Staples,0.060344985520439466,0.3649861732294486
MNST,Consumer Staples,0.2680607019822055,0.3832562846720006
MCO,Financials,0.09821900232328558,0.5395169317230265
MS,Financials,0.18250331233472333,0.6042445734465268
MOS,Materials,0.08699422128766228,0.8519631816693132
MSI,Information Technology,-0.017150378585302307,0.471559421314136
MSCI,Financials,0.44544213838903157,0.5550740626058299
NDAQ,Financials,0.19340794890883062,0.4505763720038761
NOV,Energy,-0.6210315583165363,0.9401634481970957
NTAP,Information Technology,-0.10460001214293545,0.5480796627488572
NFLX,Communication Services,0.42090725592684797,0.48657529161673724
NWL,Consumer Discretionary,0.12561773427399062,0.6098548158436133
NEM,Materials,0.33830778587705856,0.4866016399536761
NWSA,Communication Services,0.2722731233062534,0.5246405048583075
NWS,Communication Services,0.2447435785859486,0.5379240900795159
NEE,Utilities,0.21979587891067884,0.44612716775209565
NLSN,Industrials,-0.28681124438805583,0.6086094854350804
NKE,Consumer Discretionary,0.31125416462653777,0.44250862463367185
NI,Utilities,-0.14748539003105615,0.4806055960105238
NSC,Industrials,0.21549208850696036,0.5137213993486878
NTRS,Financials,-0.10195426418230032,0.5616883701268903
NOC,Industrials,-0.20925120521004947,0.4191039327509177
NLOK,Information Technology,0.16206725518499432,0.395005587062669
NCLH,Consumer Discretionary,-1.0679996499592643,1.4341620729714946
NRG,Utilities,-0.16609295663248894,0.5092404013819612
NUE,Materials,0.08873623202681695,0.5331459024828576
NVDA,Information Technology,0.8865406004877839,0.6235044960115882
NVR,Consumer Discretionary,0.059866639731137095,0.6509788269479195
ORLY,Consumer Discretionary,0.009336148274494931,0.45525754280677
OXY,Energy,-1.1006613265737666,1.26150885032265
ODFL,Industrials,0.4619494829792435,0.44051461546415166
OMC,Communication Services,-0.22223314037811384,0.5209005174548944
OKE,Energy,-0.6945157386740924,1.0642623135282618
ORCL,Information Technology,0.06054118893430009,0.42816232147883576
OTIS,Industrials,0.5876687389246975,0.4253155742748149
PCAR,Industrials,0.17716309154618728,0.3830247720508913
PKG,Materials,0.28184221342211224,0.4826381425495975
PH,Industrials,0.37703483369136465,0.6473449496745937
PAYX,Information Technology,0.09623390433112797,0.524240804850243
PAYC,Information Technology,0.35721227896628666,0.6925629980052378
PYPL,Information Technology,0.7154475997017521,0.5556575782381816
PNR,Industrials,0.15062604228903068,0.5210749192455028
PBCT,Financials,-0.15649267418971316,0.673799421133914
PEP,Consumer Staples,0.043994514905106974,0.3938962983318361
PKI,Health Care,0.2703641869264598,0.39855940881621865
PRGO,Health Care,-0.23920404997926042,0.4810027192832268
PFE,Health Care,-0.0076762272241956515,0.370674576377603
PM,Consumer Staples,-0.11143580208664494,0.4226465541360874
PSX,Energy,-0.44613961979371053,0.7350713147725266
PNW,Utilities,-0.05744823214869941,0.478418873915143
PXD,Energy,-0.31796488010810975,0.8711698432311445
PNC,Financials,-0.04904007616973499,0.6206182020967386
POOL,Consumer Discretionary,0.4997775313461118,0.5142658702442066
PPG,Materials,0.20020698194067016,0.46985471700233516
PPL,Utilities,-0.18899681220942824,0.504122102250636
PFG,Financials,-0.03351852303450744,0.7023697984084651
PG,Consumer Staples,0.13949987580805875,0.3478257825243868
PGR,Financials,0.1870965974903823,0.39110376781419853
PLD,Real Estate,0.06472864982792907,0.4975766004695861
PRU,Financials,-0.15290579005551916,0.7318359437963293
PEG,Utilities,0.040366259076255226,0.4352161900116046
PSA,Real Estate,0.037634179201700174,0.391810394106105
PHM,Consumer Discretionary,0.06634502188843934,0.7097541140393645
PVH,Consumer Discretionary,-0.1776818003239985,0.9538876250583778
QRVO,Information Technology,0.2975367977928759,0.6045301408331408
PWR,Industrials,0.6171483907672884,0.5203951485468956
QCOM,Information Technology,0.5160410009718411,0.5531587932154729
DGX,Health Care,0.19165436811432357,0.4429787595071682
RL,Consumer Discretionary,-0.34035987585627236,0.6578621788261056
RJF,Financials,-0.01962519599892983,0.6134381502048537
